0.20.3	id=prc_hicp_midx
0.20.3	id=prc_hicp_midx	label=TRUE
0.20.3	id=prc_hicp_manr
0.20.3	id=prc_hicp_manr	label=TRUE
0.20.3	id=prc_hicp_mmor
0.20.3	id=prc_hicp_mmor	label=TRUE
0.20.3	id=prc_hicp_inw
0.20.3	id=prc_hicp_inw	label=TRUE
0.20.3	id=bop_its6_det	filters=list(bop_item = "SC", currency = "MIO_EUR", partner = "EXT_EU28", geo = c("EU28", "HU"), stk_flow = "BAL")	date_filter=2010:2012	label=TRUE	select_freq=A	name=FALSE
0.14.1	id=NAMQ_10_GDP	filters=c("PL", "CP_MNAC", "B1GQ", "D11", "NSA")	date_filter=c(2020:2022)
0.14.1	id=NAMQ_10_GDP	filters=c("PL", "CP_MNAC", "B1GQ", "D11", "NSA")
0.14.1	id=NAMQ_10_GDP	filters=c("PL", "CP_MNAC", "B1GQ", "NSA")	date_filter=c(2020:2022)
0.20.3	id=bd_hgnace2_r3
0.20.3	id=NAMQ_10_GDP	filters=c("PL", "CP_MNAC", "B1GQ", "D11", "NSA")	date_filter=c(2020:2022)
0.20.3	id=bd_hgnace2_r3
0.20.3	id=nama_10r_3gdp	nuts_level=3
0.20.3	id=nama_10r_3popgdp
0.20.3	id=rd_e_gerdreg	nuts_level=2
0.20.3	id=NAMQ_10_GDP	filters=c("CP_MNAC", "B1GQ", "D11", "NSA")	date_filter=c(2020:2022)
0.20.3	id=NAMQ_10_GDP	filters=c("CP_MNAC", "B1GQ", "D11", "NSA")	date_filter=c(2020:2022)
0.20.3	id=NAMQ_10_GDP	filters=c("CP_MEUR", "B1GQ", "D11", "NSA")	date_filter=c(2020:2022)
0.20.3	id=NAMQ_10_GDP	filters=c("CP_MNAC", "B1GQ", "D11", "NSA")	date_filter=c(2020:2022)
0.20.3	id=NAMQ_10_GDP	filters=c("CP_MEUR", "B1GQ", "D11", "NSA")	date_filter=c(2020:2022)
0.20.3	id=NAMQ_10_GDP	filters=c("CP_MEUR", "B1GQ", "D11", "NSA")	date_filter=c(2020:2022)
0.20.3	id=namq_10_gdp	filters=list(unit = "CLV15_MEUR", s_adj = "NSA", na_item = "P31_S14")
0.20.3	id=namq_10_gdp	filters=list(unit = "CLV15_MEUR", s_adj = "NSA", na_item = "P31_S14")
0.20.3	id=namq_10_gdp	filters=list(unit = "CLV15_MEUR", s_adj = "NSA", na_item = "P31_S14")
0.20.3	id=namq_10_gdp
0.20.3	id=namq_10_gdp	filters=list(unit = "CLV15_MEUR", s_adj = "NSA", na_item = "P31_S14")
0.20.3	id=namq_10_gdp	filters=list(unit = "CLV15_MEUR", s_adj = "NSA", na_item = "P31_S14")
0.20.3	id=namq_10_gdp	filters=list(unit = "CLV15_MEUR", s_adj = "NSA", na_item = "P31_S14")	verbose=TRUE
0.20.3	id=namq_10_gdp	filters=list(freq = "Q", unit = "CLV15_MEUR", s_adj = "NSA", na_item = "P31_S14")	verbose=TRUE
0.20.3	id=namq_10_gdp	filters=list(freq = "Q", unit = "CLV15_MEUR", s_adj = "NSA", na_item = "P31_S14", geo = "LT")	verbose=TRUE
0.20.3	id=agr_r_milkpr	filters=get("cc", envir = .restatapi_env)$EU27_2020	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=get("cc", envir = .restatapi_env)$EU27_2020	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=get("cc", envir = .restatapi_env)$NMS10	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=paste0("^", countrycode, "..")	date_filter=2021
0.13.3	id=demo_mlexpecedu	time_format=function (x, ..., sigfig = NULL, digits = NULL, label = NULL, scale = NULL, notation = c("fit", "dec", "sci", "eng", "si"), fixed_exponent = NULL, extra_sigfig = NULL)  {     stopifnot(is.numeric(x))     stopifnot(is.null(digits) || is_integerish(digits))     check_dots_empty()     x[] <- as.numeric(x)     if (missing(notation)) {         notation <- NULL     }     out <- set_num_opts(x, sigfig = sigfig, digits = digits, label = label, scale = scale, notation = notation, fixed_exponent = fixed_exponent, extra_sigfig = extra_sigfig)     new_class <- c("pillar_num", "pillar_vctr", "vctrs_vctr", "double")     class(out) <- new_class     out }
0.13.3	id=demo_mlexpecedu	time_format=function (x, ..., sigfig = NULL, digits = NULL, label = NULL, scale = NULL, notation = c("fit", "dec", "sci", "eng", "si"), fixed_exponent = NULL, extra_sigfig = NULL)  {     stopifnot(is.numeric(x))     stopifnot(is.null(digits) || is_integerish(digits))     check_dots_empty()     x[] <- as.numeric(x)     if (missing(notation)) {         notation <- NULL     }     out <- set_num_opts(x, sigfig = sigfig, digits = digits, label = label, scale = scale, notation = notation, fixed_exponent = fixed_exponent, extra_sigfig = extra_sigfig)     new_class <- c("pillar_num", "pillar_vctr", "vctrs_vctr", "double")     class(out) <- new_class     out }
0.20.3	id=agr_r_milkpr	filters=get("cc", envir = .restatapi_env)$EU27_2020	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=get("cc", envir = .restatapi_env)$NMS10	date_filter=2021
0.20.3	id=agr_r_milkpr	filters=paste0("^", countrycode, "..")	date_filter=2021
